customerid,customer_name,country,state,gender,dob,age,age_group,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,tenure_days,tenure_years,tenure_group,annual_charges,cancellation_year,cancellation_month,churn_risk_group,complaint_count,escalation_count,avg_csat_score,last_complaint_date
6511-ZUJUA,rikim,India,Odisha,Male,1995-03-08,31,26-35,2024-08-27,Organic,2025-08-27,Basic,Annual,,,8.58,96,17,0,755.0,2.07,1-3 years,102.96000000000001,,,Low Risk,,,,
4295-PVYCG,mohan,Nepal,Kathmandu,Male,2006-01-21,20,18-25,2019-12-07,Paid,2020-12-07,Standard,Annual,,,13.05,786,43,0,2480.0,6.79,5-7 years,156.60000000000002,,,Medium Risk,,,,
1035-QMSQD,durga,India,Karnataka,Male,1987-02-06,39,36-45,2020-01-07,Organic,2021-01-07,Basic,Monthly,,,9.0,592,39,0,2449.0,6.7,5-7 years,108.0,,,Medium Risk,2.0,1.0,27.0,2025-07-18
8807-DLRTY,nandini,Nepal,Kathmandu,Female,1997-08-05,29,26-35,2019-04-10,Organic,2020-04-10,Premium,Monthly,,,23.31,1715,25,0,2721.0,7.45,7+ years,279.71999999999997,,,Low Risk,,,,
1622-VQYHR,rahul,India,Odisha,Female,1975-08-05,51,46-55,2024-03-16,Referral,2025-03-16,Standard,Monthly,,,13.0,228,4,0,919.0,2.52,1-3 years,156.0,,,Low Risk,,,,
1627-ZJXQB,asha,India,Telangana,Male,2003-01-16,23,18-25,2022-04-29,Organic,2023-04-29,Standard,Monthly,,,14.34,483,49,0,1606.0,4.4,3-5 years,172.07999999999998,,,Medium Risk,,,,
1501-RQPAU,rajesh,India,Meghalaya,Male,1974-03-17,52,46-55,2019-08-13,Referral,2020-08-13,Standard,Annual,,,17.54,1109,41,0,2596.0,7.11,7+ years,210.48,,,Medium Risk,,,,
3394-PVGUU,keshav,India,Tamil Nadu,Female,1970-10-31,56,56-65,2019-06-17,Paid,2020-06-17,Standard,Monthly,2022-03-20,Forgot to cancel trial,13.87,1083,80,1,1007.0,2.76,1-3 years,166.44,2022.0,3.0,High Risk,,,,
2858-CWDJU,rekha,India,Maharashtra,Female,1976-11-26,50,46-55,2020-04-10,Organic,2021-04-10,Standard,Monthly,,,16.68,1143,59,0,2355.0,6.45,5-7 years,200.16,,,Medium Risk,,,,
8619-CBLJP,bhavna,India,Telangana,Female,1992-08-04,34,26-35,2021-12-31,Referral,2022-12-31,Standard,Monthly,,,15.1,618,34,0,1725.0,4.72,3-5 years,181.2,,,Medium Risk,1.0,0.0,55.0,2024-06-13
4941-LZBMK,raju,India,Delhi,Female,2005-10-22,21,18-25,2024-11-27,Referral,2025-11-27,Premium,Annual,,,23.34,173,46,0,663.0,1.82,1-3 years,280.08,,,Medium Risk,,,,
1323-IDDQP,rekha,India,Punjab,Male,1988-10-19,38,36-45,2019-09-26,Referral,2020-09-26,Basic,Monthly,2021-01-15,Too expensive,9.64,653,72,1,477.0,1.31,1-3 years,115.68,2021.0,1.0,High Risk,,,,
8282-PCSWQ,rahul,India,Bihar,Female,2004-11-02,22,18-25,2022-02-04,Paid,2023-02-04,Basic,Monthly,,,7.43,309,20,0,1690.0,4.63,3-5 years,89.16,,,Low Risk,,,,
5553-VKSII,geeta,India,Kerala,Female,1995-10-23,31,26-35,2023-09-03,Referral,2024-09-03,Premium,Monthly,,,23.7,501,43,0,1114.0,3.05,3-5 years,284.4,,,Medium Risk,,,,
1099-CCLTJ,vishakha,Nepal,Kathmandu,Male,1991-04-23,35,26-35,2019-03-29,Paid,2020-03-29,Basic,Monthly,,,7.18,570,23,0,2733.0,7.48,7+ years,86.16,,,Low Risk,,,,
9202-IDJRT,mina,India,West Bengal,Male,1979-01-07,47,46-55,2022-08-29,Referral,2023-08-29,Standard,Annual,2023-08-07,Too expensive,16.32,530,95,1,343.0,0.94,0-1 years,195.84,2023.0,8.0,High Risk,,,,
9468-NEMWJ,neha,India,Nagaland,Male,1990-10-03,36,36-45,2021-11-30,Referral,2022-11-30,Basic,Annual,,,8.11,316,12,0,1756.0,4.81,3-5 years,97.32,,,Low Risk,,,,
7030-VZVPQ,mohan,India,Tamil Nadu,Male,1973-02-03,53,46-55,2020-10-20,Organic,2021-10-20,Standard,Monthly,,,14.42,871,11,0,2162.0,5.92,5-7 years,173.04,,,Low Risk,,,,
5062-XJEDR,maya,India,Meghalaya,Female,1993-05-27,33,26-35,2020-10-22,Paid,2021-10-22,Basic,Annual,2022-01-15,Forgot to cancel trial,7.11,360,75,1,450.0,1.23,1-3 years,85.32000000000001,2022.0,1.0,High Risk,,,,
1503-TFKIJ,rekha,Nepal,Kathmandu,Male,1968-10-23,58,56-65,2019-05-23,Organic,2020-05-23,Standard,Monthly,,,17.88,1308,36,0,2678.0,7.33,7+ years,214.56,,,Medium Risk,,,,
2549-EQRHR,satish,India,Odisha,Female,1977-04-03,49,46-55,2022-05-20,Paid,2023-05-20,Basic,Annual,,,7.06,303,11,0,1585.0,4.34,3-5 years,84.72,,,Low Risk,1.0,1.0,11.0,2024-05-27
8394-CLHRM,sunita,India,Karnataka,Female,1982-09-24,44,36-45,2019-01-18,Organic,2020-01-18,Premium,Annual,,,23.72,1976,20,0,2803.0,7.67,7+ years,284.64,,,Low Risk,1.0,1.0,22.0,2025-12-09
0897-AHFDG,rekha,India,Nagaland,Male,1987-04-25,39,36-45,2020-08-25,Organic,2021-08-25,Premium,Annual,,,24.63,1535,59,0,2218.0,6.07,5-7 years,295.56,,,Medium Risk,1.0,1.0,9.0,2024-07-03
2878-DNFOR,seema,India,Delhi,Female,2003-08-29,23,18-25,2019-06-14,Referral,2020-06-14,Basic,Annual,,,8.64,617,30,0,2656.0,7.27,7+ years,103.68,,,Low Risk,,,,
7147-AXWOO,nandini,India,West Bengal,Male,1983-03-04,43,36-45,2023-01-03,Paid,2024-01-03,Basic,Monthly,,,7.16,218,51,0,1357.0,3.72,3-5 years,85.92,,,Medium Risk,,,,
2815-UQVXC,raju,India,Uttar Pradesh,Female,1991-06-02,35,26-35,2022-02-12,Organic,2023-02-12,Basic,Annual,2024-05-29,Too expensive,7.24,313,86,1,837.0,2.29,1-3 years,86.88,2024.0,5.0,High Risk,,,,
1288-KIIIE,lata,India,Nagaland,Male,1987-11-17,39,36-45,2024-07-01,Organic,2025-07-01,Basic,Monthly,2025-03-06,Not enough content,8.81,102,97,1,248.0,0.68,0-1 years,105.72,2025.0,3.0,High Risk,,,,
5752-SVVGD,vikram,India,Rajasthan,Male,1971-11-10,55,46-55,2023-05-01,Organic,2024-05-01,Standard,Annual,,,14.41,434,7,0,1239.0,3.39,3-5 years,172.92000000000002,,,Low Risk,,,,
1234-EUMTT,bhavna,Nepal,Kathmandu,Female,1993-07-01,33,26-35,2021-06-02,Referral,2022-06-02,Standard,Annual,,,15.21,707,59,0,1937.0,5.3,5-7 years,182.52,,,Medium Risk,,,,
5295-WQDBL,ramesh,India,Tamil Nadu,Male,1967-07-10,59,56-65,2023-10-03,Paid,2024-10-03,Standard,Monthly,,,15.06,291,57,0,1084.0,2.97,1-3 years,180.72,,,Medium Risk,,,,
1215-ILBVB,rangadevi,India,Telangana,Female,1985-10-04,41,36-45,2024-11-21,Referral,2025-11-21,Premium,Annual,,,21.32,133,19,0,669.0,1.83,1-3 years,255.84,,,Low Risk,1.0,0.0,91.0,2025-11-06
0672-LVQIM,sudevi,India,Karnataka,Female,1969-08-23,57,56-65,2023-08-25,Paid,2024-08-25,Basic,Monthly,,,8.38,170,37,0,1123.0,3.07,3-5 years,100.56,,,Medium Risk,1.0,0.0,70.0,2025-06-24
5626-ZCQBS,om,India,Telangana,Male,1992-05-10,34,26-35,2024-07-02,Referral,2025-07-02,Basic,Annual,,,9.47,116,3,0,811.0,2.22,1-3 years,113.64000000000001,,,Low Risk,,,,
4634-KURBQ,manoj,India,Delhi,Male,1969-03-29,57,56-65,2019-01-11,Referral,2020-01-11,Basic,Annual,,,7.89,649,28,0,2810.0,7.69,7+ years,94.67999999999999,,,Low Risk,1.0,0.0,70.0,2025-04-16
6333-HSRXW,manoj,India,Delhi,Male,1994-10-08,32,26-35,2021-01-04,Referral,2022-01-04,Standard,Monthly,2024-06-13,Billing issue,16.43,794,72,1,1256.0,3.44,3-5 years,197.16,2024.0,6.0,High Risk,,,,
5082-ZSKPY,sunita,Nepal,Kathmandu,Female,1993-11-12,33,26-35,2023-01-21,Organic,2024-01-21,Standard,Annual,,,15.82,496,54,0,1339.0,3.67,3-5 years,189.84,,,Medium Risk,,,,
2093-RVTRN,pankaj,India,Telangana,Male,1965-10-26,61,56-65,2020-05-04,Organic,2021-05-04,Standard,Monthly,2023-01-03,Billing issue,16.65,939,80,1,974.0,2.67,1-3 years,199.79999999999998,2023.0,1.0,High Risk,,,,
2953-YITEZ,sudevi,India,Delhi,Male,2002-11-18,24,18-25,2020-07-08,Referral,2021-07-08,Standard,Annual,,,13.25,835,5,0,2266.0,6.2,5-7 years,159.0,,,Low Risk,,,,
8317-UVWAI,vishakha,India,Punjab,Female,1972-04-12,54,46-55,2022-04-02,Paid,2023-04-02,Basic,Monthly,,,8.91,319,50,0,1633.0,4.47,3-5 years,106.92,,,Medium Risk,,,,
7170-BJSZP,bhavna,India,Uttar Pradesh,Male,1975-09-24,51,46-55,2020-01-23,Organic,2021-01-23,Standard,Annual,,,13.83,1004,21,0,2433.0,6.66,5-7 years,165.96,,,Low Risk,,,,
7684-XFROL,vijay,India,Punjab,Male,1988-08-29,38,36-45,2022-01-16,Paid,2023-01-16,Standard,Monthly,,,16.43,707,2,0,1709.0,4.68,3-5 years,197.16,,,Low Risk,,,,
2655-VUDGQ,neha,Nepal,Kathmandu,Male,1996-11-29,30,26-35,2020-07-14,Referral,2021-07-14,Standard,Annual,,,14.86,854,8,0,2260.0,6.19,5-7 years,178.32,,,Low Risk,1.0,1.0,27.0,2025-07-17
2042-HTHXD,ritu,India,Delhi,Female,2001-08-20,25,18-25,2021-06-11,Paid,2022-06-11,Basic,Monthly,,,7.65,390,35,0,1928.0,5.28,5-7 years,91.80000000000001,,,Medium Risk,1.0,0.0,63.0,2024-02-03
5727-YKKJK,shiva,India,Kerala,Female,1966-04-07,60,56-65,2024-12-19,Referral,2025-12-19,Standard,Monthly,2025-02-20,Switched to competitor,16.5,104,96,1,63.0,0.17,0-1 years,198.0,2025.0,2.0,High Risk,2.0,1.0,45.0,2025-11-27
1623-VQUDH,naresh,India,Meghalaya,Female,1986-01-16,40,36-45,2024-05-18,Referral,2025-05-18,Basic,Monthly,,,9.06,137,50,0,856.0,2.34,1-3 years,108.72,,,Medium Risk,2.0,0.0,61.5,2025-01-29
0086-XAFDY,pankaj,India,Nagaland,Male,1975-08-30,51,46-55,2022-11-02,Paid,2023-11-02,Basic,Monthly,,,7.9,227,46,0,1419.0,3.89,3-5 years,94.80000000000001,,,Medium Risk,,,,
0782-GQQBV,padma,Nepal,Kathmandu,Male,1993-05-07,33,26-35,2021-07-17,Referral,2022-07-17,Basic,Monthly,,,7.62,387,6,0,1892.0,5.18,5-7 years,91.44,,,Low Risk,,,,
3963-SHAJO,kavita,India,Delhi,Male,1981-03-06,45,36-45,2019-03-19,Paid,2020-03-19,Premium,Monthly,,,24.78,1672,34,0,2743.0,7.51,7+ years,297.36,,,Medium Risk,,,,
8914-NZOKM,radha,India,Kerala,Male,1998-07-11,28,26-35,2019-08-31,Referral,2020-08-31,Standard,Monthly,2021-02-18,Forgot to cancel trial,17.53,1170,73,1,537.0,1.47,1-3 years,210.36,2021.0,2.0,High Risk,1.0,0.0,70.0,2024-01-10
5649-GRCPT,raghvendra,India,Karnataka,Male,1989-06-29,37,36-45,2021-04-21,Referral,2022-04-21,Standard,Annual,,,13.99,626,19,0,1979.0,5.42,5-7 years,167.88,,,Low Risk,,,,
2868-VRZME,raghvendra,India,Delhi,Female,1999-10-27,27,26-35,2022-11-25,Paid,2023-11-25,Standard,Monthly,2025-02-13,Switched to competitor,17.27,557,88,1,811.0,2.22,1-3 years,207.24,2025.0,2.0,High Risk,1.0,1.0,25.0,2024-05-05
0605-HBFBY,lata,India,Punjab,Male,1986-03-28,40,36-45,2024-12-06,Paid,2025-12-06,Basic,Annual,,,7.56,58,48,0,654.0,1.79,1-3 years,90.72,,,Medium Risk,,,,
3131-HWBRH,neha,India,Bihar,Female,1998-05-06,28,26-35,2020-02-09,Organic,2021-02-09,Premium,Annual,2020-10-15,Too expensive,25.59,1778,91,1,249.0,0.68,0-1 years,307.08,2020.0,10.0,High Risk,1.0,1.0,25.0,2024-08-10
6334-IERJU,kiran,India,Delhi,Female,1984-01-17,42,36-45,2022-12-24,Referral,2023-12-24,Premium,Monthly,,,23.11,625,9,0,1367.0,3.74,3-5 years,277.32,,,Low Risk,,,,
8937-HCIHL,pankaj,India,Rajasthan,Female,1984-11-29,42,36-45,2024-03-23,Organic,2025-03-23,Basic,Annual,,,7.4,107,7,0,912.0,2.5,1-3 years,88.80000000000001,,,Low Risk,,,,
0693-SXPLQ,madan,India,Delhi,Female,1993-08-07,33,26-35,2022-09-05,Paid,2023-09-05,Standard,Annual,,,14.91,547,55,0,1477.0,4.04,3-5 years,178.92000000000002,,,Medium Risk,,,,
8406-URYDP,om,India,Karnataka,Female,1968-01-07,58,56-65,2023-12-24,Paid,2024-12-24,Basic,Annual,,,8.21,167,53,0,1002.0,2.74,1-3 years,98.52000000000001,,,Medium Risk,,,,
6001-JYADL,neha,India,Kerala,Female,1999-03-26,27,26-35,2024-05-02,Organic,2025-05-02,Premium,Monthly,2025-02-23,Billing issue,22.83,321,84,1,297.0,0.81,0-1 years,273.96,2025.0,2.0,High Risk,1.0,1.0,30.0,2024-05-09
8674-JIHYA,kavita,India,Delhi,Male,1982-05-12,44,36-45,2019-12-15,Organic,2020-12-15,Basic,Monthly,,,8.17,621,6,0,2472.0,6.77,5-7 years,98.03999999999999,,,Low Risk,,,,
1929-GGLZH,satish,India,Telangana,Male,1971-02-02,55,46-55,2023-01-29,Referral,2024-01-29,Premium,Annual,,,22.68,614,33,0,1331.0,3.64,3-5 years,272.15999999999997,,,Medium Risk,,,,
7406-ESZVZ,ajay,India,Kerala,Female,1967-11-30,59,56-65,2022-02-14,Organic,2023-02-14,Premium,Annual,,,24.82,1154,44,0,1680.0,4.6,3-5 years,297.84000000000003,,,Medium Risk,2.0,0.0,29.0,2024-11-25
4757-XWSYQ,alok,India,Telangana,Female,1970-06-12,56,56-65,2023-07-15,Referral,2024-07-15,Premium,Monthly,2024-04-06,Billing issue,23.55,495,85,1,266.0,0.73,0-1 years,282.6,2024.0,4.0,High Risk,,,,
2275-GMJOM,vishakha,India,Delhi,Male,1978-11-16,48,46-55,2020-07-05,Referral,2021-07-05,Basic,Monthly,,,9.2,588,26,0,2269.0,6.21,5-7 years,110.39999999999999,,,Low Risk,,,,
7842-NTVBZ,arjun,India,Odisha,Female,1995-07-05,31,26-35,2022-09-01,Referral,2023-09-01,Basic,Monthly,,,8.86,319,33,0,1481.0,4.05,3-5 years,106.32,,,Medium Risk,1.0,1.0,36.0,2024-11-10
2102-WUQEZ,ritu,India,Telangana,Male,2002-04-18,24,18-25,2024-03-23,Paid,2025-03-23,Basic,Annual,,,8.98,128,57,0,912.0,2.5,1-3 years,107.76,,,Medium Risk,,,,
4982-EISIY,vijay,India,Delhi,Male,1973-10-22,53,46-55,2019-03-14,Referral,2020-03-14,Premium,Annual,,,21.15,1564,26,0,2748.0,7.52,7+ years,253.79999999999998,,,Low Risk,,,,
9024-HQPCQ,sudevi,India,Rajasthan,Female,1993-01-05,33,26-35,2023-12-18,Organic,2024-12-18,Standard,Annual,,,13.15,220,21,0,1008.0,2.76,1-3 years,157.8,,,Low Risk,,,,
9914-IYBWC,sanjay,India,Telangana,Male,1983-09-09,43,36-45,2023-05-13,Organic,2024-05-13,Standard,Annual,,,13.54,357,32,0,1227.0,3.36,3-5 years,162.48,,,Medium Risk,,,,
0496-MQHYM,kamala,India,West Bengal,Female,1968-04-10,58,56-65,2024-05-03,Referral,2025-05-03,Standard,Monthly,,,13.77,180,26,0,871.0,2.38,1-3 years,165.24,,,Low Risk,,,,
2589-LMFPI,ajay,India,Kerala,Female,1970-11-13,56,56-65,2022-12-15,Referral,2023-12-15,Premium,Monthly,2024-01-06,No longer needed,22.41,712,81,1,387.0,1.06,1-3 years,268.92,2024.0,1.0,High Risk,2.0,1.0,24.0,2025-08-12
8437-OIMGG,chitra,India,Karnataka,Male,1982-03-26,44,36-45,2019-04-21,Referral,2020-04-21,Premium,Annual,,,24.12,1779,28,0,2710.0,7.42,7+ years,289.44,,,Low Risk,,,,
6850-GWEIP,ajay,India,Telangana,Female,1987-05-09,39,36-45,2022-12-09,Organic,2023-12-09,Basic,Monthly,2023-03-16,No longer needed,7.72,226,92,1,97.0,0.27,0-1 years,92.64,2023.0,3.0,High Risk,1.0,0.0,72.0,2024-12-09
7648-MIAYN,priya,India,Telangana,Male,1980-10-30,46,46-55,2022-06-02,Referral,2023-06-02,Basic,Annual,,,7.5,277,38,0,1572.0,4.3,3-5 years,90.0,,,Medium Risk,,,,
8108-PVRHA,raju,India,Bihar,Female,2004-08-02,22,18-25,2024-10-09,Paid,2025-10-09,Premium,Annual,,,22.32,168,38,0,712.0,1.95,1-3 years,267.84000000000003,,,Medium Risk,,,,
5992-TJKOF,vijay,India,Delhi,Female,1987-08-15,39,36-45,2023-05-18,Referral,2024-05-18,Basic,Annual,2024-11-12,No longer needed,7.28,198,85,1,544.0,1.49,1-3 years,87.36,2024.0,11.0,High Risk,,,,
9008-HZRDZ,harish,India,Kerala,Male,1990-01-09,36,36-45,2022-10-22,Paid,2023-10-22,Basic,Annual,,,7.89,258,52,0,1430.0,3.92,3-5 years,94.67999999999999,,,Medium Risk,1.0,0.0,79.0,2024-12-26
2363-FNNBD,manoj,India,Delhi,Male,1985-07-02,41,36-45,2019-11-05,Organic,2020-11-05,Premium,Annual,,,23.67,1407,27,0,2512.0,6.88,5-7 years,284.04,,,Low Risk,1.0,1.0,17.0,2024-11-23
2290-IPEZT,ramesh,Nepal,Kathmandu,Male,1987-10-04,39,36-45,2021-07-14,Paid,2022-07-14,Standard,Monthly,2024-08-04,Poor streaming quality,17.78,815,95,1,1117.0,3.06,3-5 years,213.36,2024.0,8.0,High Risk,1.0,1.0,5.0,2024-08-17
8721-MOMAI,parvati,India,Bihar,Male,1978-10-20,48,46-55,2023-10-16,Paid,2024-10-16,Basic,Annual,,,9.38,212,36,0,1071.0,2.93,1-3 years,112.56,,,Medium Risk,,,,
0436-PGRZP,amit,India,Karnataka,Male,1986-07-21,40,36-45,2022-07-07,Organic,2023-07-07,Basic,Annual,2025-06-28,No longer needed,8.2,321,70,1,1087.0,2.98,1-3 years,98.39999999999999,2025.0,6.0,High Risk,1.0,1.0,10.0,2025-10-12
2421-VGOSE,om,India,Gujarat,Female,1971-10-18,55,46-55,2021-02-03,Organic,2022-02-03,Standard,Annual,,,14.05,851,41,0,2056.0,5.63,5-7 years,168.60000000000002,,,Medium Risk,,,,
3340-KUXWT,madan,India,Meghalaya,Male,1974-04-21,52,46-55,2023-11-12,Paid,2024-11-12,Premium,Monthly,,,24.62,445,17,0,1044.0,2.86,1-3 years,295.44,,,Low Risk,,,,
7837-NIEXI,seema,India,Tamil Nadu,Male,1986-09-20,40,36-45,2020-09-08,Referral,2021-09-08,Standard,Annual,,,16.82,930,6,0,2204.0,6.03,5-7 years,201.84,,,Low Risk,,,,
4571-OFZHH,pooja,India,Delhi,Male,1986-07-11,40,36-45,2021-04-13,Organic,2022-04-13,Premium,Annual,,,22.32,1028,17,0,1987.0,5.44,5-7 years,267.84000000000003,,,Low Risk,,,,
4480-HOOXK,dinesh,India,Meghalaya,Male,1966-11-21,60,56-65,2023-07-21,Paid,2024-07-21,Basic,Monthly,,,7.44,191,33,0,1158.0,3.17,3-5 years,89.28,,,Medium Risk,1.0,0.0,49.0,2024-08-01
1294-JLGMF,kiran,Nepal,Kathmandu,Female,1977-03-09,49,46-55,2023-11-22,Paid,2024-11-22,Standard,Monthly,2024-10-01,Billing issue,17.52,318,95,1,314.0,0.86,0-1 years,210.24,2024.0,10.0,High Risk,,,,
3972-BXFGC,manoj,India,Delhi,Male,1995-07-23,31,26-35,2020-12-21,Referral,2021-12-21,Standard,Annual,,,13.2,629,22,0,2100.0,5.75,5-7 years,158.39999999999998,,,Low Risk,2.0,2.0,16.0,2025-05-10
0084-ZZEQW,naresh,India,Delhi,Female,1973-12-12,53,46-55,2022-05-05,Organic,2023-05-05,Premium,Annual,,,25.49,1029,27,0,1600.0,4.38,3-5 years,305.88,,,Low Risk,,,,
4706-IQXCO,mira,India,Rajasthan,Female,2004-07-29,22,18-25,2020-07-29,Paid,2021-07-29,Basic,Monthly,,,8.7,546,51,0,2245.0,6.15,5-7 years,104.39999999999999,,,Medium Risk,1.0,0.0,82.0,2024-08-06
0595-ZKMYZ,meena,India,Karnataka,Male,1978-05-21,48,46-55,2024-11-21,Paid,2025-11-21,Basic,Monthly,,,9.64,62,23,0,669.0,1.83,1-3 years,115.68,,,Low Risk,,,,
1758-YILQN,raghvendra,India,Telangana,Female,1977-03-29,49,46-55,2023-05-17,Paid,2024-05-17,Premium,Annual,2024-09-08,Poor streaming quality,24.71,570,78,1,480.0,1.31,1-3 years,296.52,2024.0,9.0,High Risk,1.0,0.0,40.0,2025-08-28
5417-ELGET,meena,Nepal,Kathmandu,Female,1998-12-21,28,26-35,2021-11-07,Organic,2022-11-07,Premium,Annual,,,21.27,1070,29,0,1779.0,4.87,3-5 years,255.24,,,Low Risk,,,,
7007-NCRED,rekha,India,Uttar Pradesh,Male,1976-09-12,50,46-55,2024-04-29,Organic,2025-04-29,Standard,Monthly,,,17.81,251,21,0,875.0,2.4,1-3 years,213.71999999999997,,,Low Risk,,,,
7319-TYHSA,alok,India,Uttar Pradesh,Male,1994-12-16,32,26-35,2019-03-28,Organic,2020-03-28,Standard,Monthly,,,17.52,1399,46,0,2734.0,7.49,7+ years,210.24,,,Medium Risk,,,,
2616-KNXSI,rikim,India,West Bengal,Male,1992-07-28,34,26-35,2021-09-08,Organic,2022-09-08,Basic,Annual,,,8.14,334,56,0,1839.0,5.03,5-7 years,97.68,,,Medium Risk,2.0,0.0,34.0,2025-11-08
2188-MLZJS,naresh,Nepal,Kathmandu,Female,2002-01-13,24,18-25,2023-12-18,Organic,2024-12-18,Standard,Annual,,,17.54,307,50,0,1008.0,2.76,1-3 years,210.48,,,Medium Risk,,,,
4054-RPUNN,alok,India,Delhi,Male,1970-01-13,56,56-65,2021-08-22,Referral,2022-08-22,Basic,Monthly,,,9.57,466,51,0,1856.0,5.08,5-7 years,114.84,,,Medium Risk,,,,
8281-FNEWL,pooja,Nepal,Kathmandu,Female,1969-01-29,57,56-65,2023-07-23,Referral,2024-07-23,Premium,Monthly,,,22.36,523,55,0,1156.0,3.16,3-5 years,268.32,,,Medium Risk,,,,
7298-VLNLB,indira,India,West Bengal,Female,1965-12-23,61,56-65,2022-09-24,Paid,2023-09-24,Standard,Monthly,,,17.37,619,24,0,1458.0,3.99,3-5 years,208.44,,,Low Risk,,,,
0049-TPBIB,madan,India,Delhi,Female,1966-06-04,60,56-65,2023-09-20,Referral,2024-09-20,Standard,Annual,,,17.06,390,43,0,1097.0,3.0,1-3 years,204.71999999999997,,,Medium Risk,1.0,1.0,25.0,2025-02-11
2948-TTZQK,gopal,India,Odisha,Female,1981-11-07,45,36-45,2021-01-22,Referral,2022-01-22,Standard,Monthly,,,16.95,888,22,0,2068.0,5.66,5-7 years,203.39999999999998,,,Low Risk,,,,
2178-QJENN,sneha,India,Maharashtra,Male,1978-05-21,48,46-55,2019-12-03,Paid,2020-12-03,Basic,Monthly,,,7.74,554,22,0,2484.0,6.8,5-7 years,92.88,,,Low Risk,,,,
8920-LJFLE,nisha,India,Nagaland,Male,2001-04-24,25,18-25,2024-01-24,Paid,2025-01-24,Standard,Annual,,,16.67,306,53,0,971.0,2.66,1-3 years,200.04000000000002,,,Medium Risk,1.0,1.0,26.0,2024-05-12
0256-GBPLR,mina,India,Uttar Pradesh,Female,1966-12-26,60,56-65,2022-02-28,Referral,2023-02-28,Basic,Monthly,,,8.23,371,58,0,1666.0,4.56,3-5 years,98.76,,,Medium Risk,2.0,1.0,30.5,2024-11-17
3839-OTUDZ,amit,Nepal,Kathmandu,Male,1990-11-27,36,36-45,2021-07-08,Referral,2022-07-08,Basic,Monthly,2022-07-18,Switched to competitor,7.06,390,92,1,375.0,1.03,1-3 years,84.72,2022.0,7.0,High Risk,,,,
5253-GWZNK,asha,India,Karnataka,Male,1991-07-17,35,26-35,2023-07-01,Referral,2024-07-01,Standard,Monthly,2023-11-28,Switched to competitor,15.99,442,88,1,150.0,0.41,0-1 years,191.88,2023.0,11.0,High Risk,1.0,0.0,73.0,2024-08-13
2869-QLMZY,gopal,India,Telangana,Male,1996-03-27,30,26-35,2024-11-23,Organic,2025-11-23,Standard,Annual,2025-02-09,No longer needed,17.59,128,76,1,78.0,0.21,0-1 years,211.07999999999998,2025.0,2.0,High Risk,,,,
2444-HENGF,rishabh,India,Odisha,Male,1990-03-25,36,36-45,2021-12-26,Referral,2022-12-26,Basic,Monthly,,,8.47,400,54,0,1730.0,4.74,3-5 years,101.64000000000001,,,Medium Risk,1.0,1.0,28.0,2024-07-27
6824-ODGFQ,bhavna,India,Kerala,Male,1989-01-10,37,36-45,2022-03-05,Referral,2023-03-05,Standard,Monthly,2023-07-30,Forgot to cancel trial,13.94,613,78,1,512.0,1.4,1-3 years,167.28,2023.0,7.0,High Risk,,,,
3120-BJPBB,rahul,India,Delhi,Female,2004-01-02,22,18-25,2024-01-22,Referral,2025-01-22,Premium,Annual,2025-02-09,Poor streaming quality,22.84,340,80,1,384.0,1.05,1-3 years,274.08,2025.0,2.0,High Risk,,,,
4967-YAYZD,jyoti,India,Uttar Pradesh,Female,1992-02-11,34,26-35,2021-05-19,Referral,2022-05-19,Standard,Annual,2022-10-11,Poor streaming quality,16.53,727,80,1,510.0,1.4,1-3 years,198.36,2022.0,10.0,High Risk,,,,
6498-XOUJN,seema,India,West Bengal,Male,1981-02-18,45,36-45,2022-12-22,Referral,2023-12-22,Premium,Monthly,,,25.69,730,21,0,1369.0,3.75,3-5 years,308.28000000000003,,,Low Risk,,,,
8147-MUSTI,pooja,India,Kerala,Male,1983-07-27,43,36-45,2023-06-05,Paid,2024-06-05,Standard,Monthly,2024-06-16,Poor streaming quality,13.65,310,85,1,377.0,1.03,1-3 years,163.8,2024.0,6.0,High Risk,1.0,0.0,39.0,2024-09-21
2390-AOPSH,vikram,India,Gujarat,Female,1982-01-15,44,36-45,2020-06-24,Paid,2021-06-24,Basic,Annual,,,9.12,516,10,0,2280.0,6.24,5-7 years,109.44,,,Low Risk,,,,
4026-MRRGV,satish,India,Odisha,Female,1997-11-14,29,26-35,2024-08-06,Referral,2025-08-06,Premium,Annual,,,25.16,257,41,0,776.0,2.12,1-3 years,301.92,,,Medium Risk,,,,
2773-DOEXZ,madan,India,Telangana,Male,2002-08-22,24,18-25,2021-12-16,Organic,2022-12-16,Standard,Monthly,,,15.17,699,11,0,1740.0,4.76,3-5 years,182.04,,,Low Risk,,,,
0794-TKVGS,raghav,India,Telangana,Male,1985-06-16,41,36-45,2023-12-08,Paid,2024-12-08,Basic,Monthly,2025-04-29,Poor streaming quality,7.44,121,92,1,508.0,1.39,1-3 years,89.28,2025.0,4.0,High Risk,,,,
